Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,204644849,2625.489632159078,4418491,56.68699880292706,659772,4323139,55.46368099830632,66858,0.8577542346394057,9971,
United States of America,Americas,35957692,10863.26,820038,247.74,133326,613647,185.39,3962,1.2,674
India,South-East Asia,32077706,2324.46,265592,19.25,41195,429669,31.14,3379,0.24,490
Brazil,Americas,20212642,9509.17,226825,106.71,34885,564773,265.7,6341,2.98,1211
Russian Federation,Europe,6534791,4477.89,154887,106.13,21932,168049,115.15,5540,3.8,808
France,Europe,6216600,9558.21,149171,229.35,30757,111278,171.09,317,0.49,52
The United Kingdom,Europe,6146804,9054.6,194044,285.84,29260,130607,192.39,607,0.89,104
Turkey,Europe,5996224,7109.66,173737,206,27356,52565,62.33,798,0.95,128
Argentina,Americas,5041487,11154.78,79607,176.14,12412,108165,239.33,1718,3.8,204
Colombia,Americas,4846955,9525.71,38976,76.6,3948,122768,241.28,1284,2.52,167
Spain,Europe,4660473,9846.22,96890,204.7,8719,82320,173.92,310,0.65,17
Italy,Europe,4413162,7399.48,43198,72.43,6921,128304,215.13,168,0.28,31
Iran (Islamic Republic of),Eastern Mediterranean,4281217,5097.11,262133,312.09,42541,95647,113.88,3453,4.11,536
Germany,Europe,3805063,4575.22,24078,28.95,5638,91834,110.42,104,0.13,17
Indonesia,South-East Asia,3774155,1379.83,205824,75.25,24709,113664,41.56,11289,4.13,1466
Mexico,Americas,2997885,2325.15,117476,91.11,19555,245476,190.39,3540,2.75,786
Poland,Europe,2884780,7599.9,1156,3.05,223,75291,198.35,16,0.04,2
South Africa,Africa,2554240,4306.69,70231,118.42,7478,75774,127.76,2359,3.98,573
Ukraine,Europe,2262601,5173.58,6204,14.19,1247,53173,121.58,124,0.28,24
Peru,Americas,2127034,6451.06,10382,31.49,1186,197102,597.79,504,1.53,73
Netherlands,Europe,1892104,10869.42,17365,99.76,2155,17887,102.75,48,0.28,9
Iraq,Eastern Mediterranean,1740933,4328.26,67849,168.68,8635,19402,48.24,464,1.15,66
Philippines,Western Pacific,1688040,1540.45,68351,62.37,12021,29374,26.81,1143,1.04,154
Czechia,Europe,1675675,15669.39,1256,11.74,225,30372,284.01,6,0.06,1
Chile,Americas,1625456,8503.03,6273,32.82,633,36157,189.14,486,2.54,19
Canada,Americas,1443433,3824.46,9658,25.59,1346,26683,70.7,76,0.2,5
Bangladesh,South-East Asia,1396868,848.18,74214,45.06,10126,23613,14.34,1711,1.04,215
Malaysia,Western Pacific,1320547,4080.04,137437,424.63,20780,11373,35.14,1518,4.69,211
Belgium,Europe,1145736,9943.52,9902,85.94,0,25282,219.42,17,0.15,0
Sweden,Europe,1108057,10729.1,5187,50.22,1204,14658,141.93,1,0.01,0
Romania,Europe,1086109,5619.11,1883,9.74,371,34334,177.63,34,0.18,3
Pakistan,Eastern Mediterranean,1080360,489.09,32361,14.65,4856,24085,10.9,510,0.23,81
Japan,Western Pacific,1069554,845.65,99094,78.35,15063,15330,12.12,102,0.08,19
Portugal,Europe,993241,9646.95,15835,153.8,2948,17514,170.11,102,0.99,12
Israel,Europe,921083,10641.54,30021,346.84,1661,6593,76.17,72,0.83,3
Thailand,South-East Asia,839771,1203.11,146466,209.84,22782,6942,9.95,1279,1.83,147
Hungary,Europe,810212,8293.26,409,4.19,86,30037,307.46,5,0.05,0
Jordan,Eastern Mediterranean,779530,7640.1,4976,48.77,511,10158,99.56,76,0.74,10
Kazakhstan,Europe,729016,3882.56,47939,255.31,0,10791,57.47,882,4.7,0
Serbia,Europe,728167,10512.46,4649,67.12,921,7151,103.24,22,0.32,5
Switzerland,Europe,727924,8410.82,7877,91.01,10,10357,119.67,3,0.03,0
Nepal,South-East Asia,725769,2490.9,17690,60.71,2473,10212,35.05,218,0.75,32
Morocco,Eastern Mediterranean,720256,1951.35,66970,181.44,9153,10607,28.74,592,1.6,98
United Arab Emirates,Eastern Mediterranean,696906,7046.29,9925,100.35,1287,1988,20.1,23,0.23,6
Austria,Europe,660569,7421.24,4119,46.28,894,10552,118.55,10,0.11,2
Tunisia,Eastern Mediterranean,616764,5218.58,14007,118.52,0,21220,179.55,670,5.67,0
Lebanon,Eastern Mediterranean,576550,8447.07,10654,156.09,2591,7958,116.59,37,0.54,6
Saudi Arabia,Eastern Mediterranean,535927,1539.41,5932,17.04,751,8366,24.03,82,0.24,9
Greece,Europe,524871,4896.84,20986,195.79,3472,13138,122.57,125,1.17,20
Ecuador,Americas,491831,2787.67,2334,13.23,0,31788,180.17,67,0.38,0
Cuba,Americas,483710,4270.56,61096,539.4,8605,3684,32.53,593,5.24,76
Bolivia (Plurinational State of),Americas,479459,4107.41,4194,35.93,788,18082,154.9,200,1.71,78
Georgia,Europe,466326,11689.79,29753,745.84,5128,6279,157.4,293,7.34,49
Belarus,Europe,456247,4828.36,6945,73.5,966,3562,37.7,68,0.72,11
Paraguay,Americas,455680,6388.75,2313,32.43,291,15341,215.08,206,2.89,26
Panama,Americas,443718,10283.71,5974,138.45,900,6918,160.33,67,1.55,6
Bulgaria,Europe,430410,6191.63,3978,57.23,782,18306,263.34,77,1.11,18
Costa Rica,Americas,422344,8290.82,11221,220.27,1882,5169,101.47,99,1.94,7
Kuwait,Eastern Mediterranean,404887,9480.86,3908,91.51,424,2378,55.68,27,0.63,3
Guatemala,Americas,398990,2227.06,21544,120.25,4618,10898,60.83,374,2.09,53
Slovakia,Europe,393302,7206.14,404,7.4,74,12544,229.83,3,0.05,0
Uruguay,Americas,382721,11017.58,868,24.99,114,5990,172.44,14,0.4,1
Croatia,Europe,366049,9020.06,1558,38.39,333,8278,203.98,8,0.2,3
Azerbaijan,Europe,357058,3521.57,10180,100.4,2396,5095,50.25,56,0.55,11
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,347748,6816.7,1503,29.46,440,3886,76.17,9,0.18,3
Dominican Republic,Americas,345118,3181.42,1932,17.81,282,3975,36.64,4,0.04,0
Myanmar,South-East Asia,344730,633.58,25480,46.83,3430,12667,23.28,1679,3.09,215
Sri Lanka,South-East Asia,342079,1597.51,20650,96.44,0,5407,25.25,643,3,0
Denmark,Europe,326887,5613.95,6665,114.46,1162,2554,43.86,4,0.07,0
Ireland,Europe,317204,6389.52,11677,235.21,1819,5059,101.9,15,0.3,15
Venezuela (Bolivarian Republic of),Americas,314480,1105.92,6028,21.2,896,3733,13.13,96,0.34,14
Honduras,Americas,310610,3136.02,8910,89.96,1581,8270,83.5,308,3.11,68
Oman,Eastern Mediterranean,299418,5863.32,1694,33.17,476,3968,77.7,79,1.55,20
Lithuania,Europe,288173,10313.66,3741,133.89,604,4438,158.84,14,0.5,3
Ethiopia,Africa,286286,249.02,4475,3.89,1755,4450,3.87,47,0.04,20
Egypt,Eastern Mediterranean,284966,278.47,494,0.48,91,16597,16.22,47,0.05,9
Libya,Eastern Mediterranean,274453,3994.2,13501,196.48,2472,3811,55.46,176,2.56,30
Bahrain,Eastern Mediterranean,270451,15894.16,834,49.01,161,1384,81.34,0,0,0
Republic of Moldova,Europe,261256,6476.41,1232,30.54,256,6295,156.05,29,0.72,4
Slovenia,Europe,260619,12434.94,992,47.33,248,4763,227.26,0,0,0
Viet Nam,Western Pacific,241543,248.15,59787,61.42,8606,4487,4.61,2160,2.22,342
Armenia,Europe,233400,7876.53,2078,70.13,399,4669,157.56,37,1.25,5
